"";"Region";"aldersgruppe";"value"
"786";"1859";"16-24";107
"787";"1859";"25-34";158
"788";"1859";"35-44";134
"789";"1859";"45-54";151
"790";"1859";"55-64";194
"791";"1859";"65-74";165
"792";"1859";"75 og eldre";161
"793";"1860";"0-15";2103
"794";"1860";"16-24";1269
"795";"1860";"25-34";1530
"796";"1860";"35-44";1410
"797";"1860";"45-54";1386
"798";"1860";"55-64";1505
"799";"1860";"65-74";1307
"800";"1860";"75 og eldre";1109
"801";"1865";"0-15";1593
"802";"1865";"16-24";982
"803";"1865";"25-34";1275
"804";"1865";"35-44";1294
"805";"1865";"45-54";1313
"806";"1865";"55-64";1252
"807";"1865";"65-74";1159
"808";"1865";"75 og eldre";925
"809";"1866";"0-15";1355
"810";"1866";"16-24";835
"811";"1866";"25-34";1001
"812";"1866";"35-44";944
"813";"1866";"45-54";1023
"814";"1866";"55-64";1129
"815";"1866";"65-74";1000
"816";"1866";"75 og eldre";949
"817";"1867";"0-15";350
"818";"1867";"16-24";217
"819";"1867";"25-34";266
"820";"1867";"35-44";242
"821";"1867";"45-54";307
"822";"1867";"55-64";438
"823";"1867";"65-74";393
"824";"1867";"75 og eldre";421
"825";"1868";"0-15";708
"826";"1868";"16-24";429
"827";"1868";"25-34";577
"828";"1868";"35-44";538
"829";"1868";"45-54";637
"830";"1868";"55-64";656
"831";"1868";"65-74";526
"832";"1868";"75 og eldre";498
"833";"1870";"0-15";1919
"834";"1870";"16-24";1131
"835";"1870";"25-34";1388
"836";"1870";"35-44";1284
"837";"1870";"45-54";1361
"838";"1870";"55-64";1359
"839";"1870";"65-74";1182
"840";"1870";"75 og eldre";994
"841";"1871";"0-15";681
"842";"1871";"16-24";428
"843";"1871";"25-34";519
"844";"1871";"35-44";467
"845";"1871";"45-54";549
"846";"1871";"55-64";684
"847";"1871";"65-74";597
"848";"1871";"75 og eldre";628
"849";"1874";"0-15";98
"850";"1874";"16-24";70
"851";"1874";"25-34";117
"852";"1874";"35-44";122
"853";"1874";"45-54";144
"854";"1874";"55-64";135
"855";"1874";"65-74";122
"856";"1874";"75 og eldre";146
"857";"1875";"0-15";381
"858";"1875";"16-24";260
"859";"1875";"25-34";277
"860";"1875";"35-44";329
"861";"1875";"45-54";321
"862";"1875";"55-64";391
"863";"1875";"65-74";398
"864";"1875";"75 og eldre";372
"865";"3101";"0-15";5256
"866";"3101";"16-24";3326
"867";"3101";"25-34";3868
"868";"3101";"35-44";3842
"869";"3101";"45-54";4266
"870";"3101";"55-64";4378
"871";"3101";"65-74";3673
"872";"3101";"75 og eldre";3326
"873";"3103";"0-15";8606
"874";"3103";"16-24";5258
"875";"3103";"25-34";6055
"876";"3103";"35-44";6637
"877";"3103";"45-54";7371
"878";"3103";"55-64";7171
"879";"3103";"65-74";5646
"880";"3103";"75 og eldre";5307
"881";"3105";"0-15";10735
"882";"3105";"16-24";6280
"883";"3105";"25-34";7657
"884";"3105";"35-44";7630
"885";"3105";"45-54";8315
"886";"3105";"55-64";7499
"887";"3105";"65-74";6026
"888";"3105";"75 og eldre";5629
"889";"3107";"0-15";14249
"890";"3107";"16-24";9139
"891";"3107";"25-34";10430
"892";"3107";"35-44";10490
"893";"3107";"45-54";11719
"894";"3107";"55-64";11670
"895";"3107";"65-74";9442
"896";"3107";"75 og eldre";8091
"897";"3110";"0-15";627
"898";"3110";"16-24";383
"899";"3110";"25-34";311
"900";"3110";"35-44";428
"901";"3110";"45-54";661
"902";"3110";"55-64";841
"903";"3110";"65-74";921
"904";"3110";"75 og eldre";615
"905";"3112";"0-15";1359
"906";"3112";"16-24";817
"907";"3112";"25-34";857
"908";"3112";"35-44";965
"909";"3112";"45-54";1146
"910";"3112";"55-64";1007
"911";"3112";"65-74";907
"912";"3112";"75 og eldre";825
"913";"3114";"0-15";1331
"914";"3114";"16-24";529
"915";"3114";"25-34";724
"916";"3114";"35-44";1019
"917";"3114";"45-54";839
"918";"3114";"55-64";727
"919";"3114";"65-74";569
"920";"3114";"75 og eldre";407
"921";"3116";"0-15";697
"922";"3116";"16-24";433
"923";"3116";"25-34";426
"924";"3116";"35-44";528
"925";"3116";"45-54";545
"926";"3116";"55-64";516
"927";"3116";"65-74";423
"928";"3116";"75 og eldre";351
"929";"3118";"0-15";8248
"930";"3118";"16-24";4675
"931";"3118";"25-34";5596
"932";"3118";"35-44";6230
"933";"3118";"45-54";6606
"934";"3118";"55-64";6359
"935";"3118";"65-74";4930
"936";"3118";"75 og eldre";4362
"937";"3120";"0-15";1425
"938";"3120";"16-24";823
"939";"3120";"25-34";990
"940";"3120";"35-44";1012
"941";"3120";"45-54";1158
"942";"3120";"55-64";1145
"943";"3120";"65-74";1048
"944";"3120";"75 og eldre";819
